Data,Horário Coleta,Estação,Tempo atm.,Local de coleta,Sub-família,Tribo,Gênero,Spp. de abelha,Sexo,n° do indivíduo,Código p/ área,Comp/larg (mm) do vis.,Spp. da flor,Família da planta,Outro lugar coletado,Cor da flor,Mácula da flor,Simetria floral,Guia de Néctar visível,Aroma,Recurso coletado,Polinizador,Outro visitante
01/12/23,9:14,Primavera,Sol/nuvens,PNMSM (SEDE),Apinae,Tapinotaspidini,Paratetrapedia,Paratetrapedia sp.1,M,11,A13,,Maranta cristata,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,"Coleoptero, lepidopteros philopotas e stylogasters"
07/01/24,13:00,Verão,Sol,R. Caminho da Serra,Megachilinae,Megachilini,Megachile,Megachile sp.1,,12,B1,,Cosmos sulphureus,Asteraceae,,Laranja,,Actinomorfa,,Não,Pólen,,
16/01/24,10:27,Verão,Sol,R. Caminho da Serra,Apinae,Bombini,Bombus,Bombus morio,,13,B2,,Cosmos sulphureus,Asteraceae,,Laranja,,Actinomorfa,,Não,Pólen,,
25/01/24,10:35,Verão,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Melipona,Melipona marginata carioca,,14,B39,,,,Chão,,,,,,Barro,,
25/01/24,10:35,Verão,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Melipona,Melipona marginata carioca,,15,C1,,,,Chão,,,,,,Barro,,
25/01/24,10:37,Verão,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Melipona,Melipona bicolor,,16,C2,,,,Chão,,,,,,Barro,,
19/11/24,09:53,Primavera,Sol/nuvens,Estrada da Torre (PEM),Andreninae,Protandrenini,Psaenythia,Psaenythia sp.,,17,D28,,Solanum hexandrum,Solanaceae,,Lilás,Amarelo,Actinomorfa,Não,,Pólen,,
25/01/24,11:00,Verão,Sol,R. Caminho da Serra,Megachilinae,Anthidiini,*,Anthidiini sp.1,,18,B3,,Ocimum gratissimum,Lamiaceae,,Branca,,Zigomorfa,,Não,Pólen,,
25/01/24,11:00,Verão,Sol,R. Caminho da Serra,Megachilinae,Anthidiini,*,Anthidiini sp.1,,19,B4,,Ocimum gratissimum,Lamiaceae,,Branca,,Zigomorfa,,Não,Néctar,,
25/01/24,11:00,Verão,Sol,R. Caminho da Serra,Megachilinae,Anthidiini,*,Anthidiini sp.1,,20,B5,,Ocimum gratissimum,Lamiaceae,,Branca,,Zigomorfa,,Não,Néctar,,
16/03/24,09:00,Verão,Sol/nuvens,Trilha cachoeira (PEM),Megachilinae,Megachilini,Megachile,Megachile sp.2,,21,C4,,,,Chão,,,,,,Barro,,
16/03/24,09:00,Verão,Sol/nuvens,Trilha cachoeira (PEM),Megachilinae,Megachilini,Megachile,Megachile sp.3,,22,C5,,,,Chão,,,,,,Barro,,
16/03/24,09:13,Verão,Sol/nuvens,R. Caminho da Serra,Apinae,Eucerini,Thygater,Thygater sp.1,,23,B6,,Ipomoea indica,Convolvulaceae,,Lilás,Branca,Actinomorfa,,Não,Néctar,,
16/03/24,10:00,Verão,Sol/nuvens,R. Caminho da Serra,Apinae,Eucerini,Thygater,Thygater sp.2,,24,B7,,Ipomoea indica,Convolvulaceae,,Lilás,Branca,Actinomorfa,,Não,Néctar,,
16/03/24,10:03,Verão,Sol/nuvens,R. Caminho da Serra,Apinae,Eucerini,Thygater,Thygater sp.2,,25,B8,,Ipomoea indica,Convolvulaceae,,Lilás,Branca,Actinomorfa,,Não,Néctar,,
16/03/24,10:05,Verão,Sol/nuvens,R. Caminho da Serra,Apinae,Euglossini,Euglossa,Euglossa sp.,,26,B9,,Ipomoea indica,Convolvulaceae,,Lilás,Branca,Actinomorfa,,Não,Néctar,,
16/03/24,10:10,Verão,Sol/nuvens,R. Caminho da Serra,Apinae,Emphorini,Melitoma,Melitoma segmentaria,,27,B10,,Ipomoea indica,Convolvulaceae,,Lilás,Branca,Actinomorfa,,Não,Néctar,,
13/04/24,09:10,Outono,Sol,R. Caminho da Serra,Megachilinae,Megachilini,Megachile,Megachile sp.4,,28,B11,,Cosmos sulphureus,Asteraceae,,Laranja,,Actinomorfa,,Não,Pólen,,lepidopteros spp.
13/04/24,10:22,Outono,Sol,R. Caminho da Serra,Halictinae,Augochlorini,Augochloropsis,Augochloropsis sp.1,,29,B12,,Cosmos caudatus,Asteraceae,,Lilás,Amarela,Actinomorfa,,Não,Néctar,,lepidopteros spp.
13/04/24,10:30,Outono,Sol,R. Caminho da Serra,Apinae,Ancylocelidini,Ancyloscelis,Ancyloscelis apiformis,,30,B13,,Ipomoea carnea,Convolvulaceae,,Rosa,Branca,Actinomorfa,,Não,,,
13/04/24,10:35,Outono,Sol,R. Caminho da Serra,Apinae,Emphorini,Melitoma,Melitoma segmentaria,,31,B14,,Ipomoea carnea,Convolvulaceae,,Rosa,Branca,Actinomorfa,,Não,Néctar,,
13/04/24,10:45,Outono,Sol,R. Caminho da Serra,Halictinae,Augochlorini,Augochlora,Augochlora sp.1,,32,B15,,Ipomoea indica,Convolvulaceae,,Lilás,Branca,Actinomorfa,,Não,Néctar,,
14/04/24,08:20,Outono,Sol,Trilha cachoeira (PEM),Apinae,Ceratinini,Ceratina,Ceratina (Neoclavicera) sp.1,,33,C6,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,baccha sp.
14/04/24,08:20,Outono,Sol,Trilha cachoeira (PEM),Apinae,Ceratinini,Ceratina,Ceratina (ceratinula) sp.2,,34,C7,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
14/04/24,08:20,Outono,Sol,Trilha cachoeira (PEM),Apinae,Ceratinini,Ceratina,Ceratina (ceratinula) sp.2,,35,C8,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
14/04/24,08:21,Outono,Sol,Trilha cachoeira (PEM),Apinae,Ceratinini,Ceratina,Ceratina (ceratinula) sp.2,,36,C9,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
14/04/24,08:21,Outono,Sol,Trilha cachoeira (PEM),Apinae,Ceratinini,Ceratina,Ceratina (ceratinula) sp.2,,37,C10,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
14/04/24,13:00,Outono,Sol,Trilha cachoeira (PEM),Apinae,Exomalopsini,Exomalopsis,Exomalopsis sp.1,,38,C11,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
14/04/24,13:00,Outono,Sol,Trilha cachoeira (PEM),Halictinae,Augochlorini,Augochlora,Augochlora sp.2,,39,C12,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
14/04/24,13:00,Outono,Sol,Trilha cachoeira (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,40,C13,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
14/04/24,13:00,Outono,Sol,Trilha cachoeira (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,41,C14,,Acmellla ciliata,Asteraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
03/05/24,07:55,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Euglossini,Eulaema,Eulaema cingulata,,42,A15,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Aroma,,
03/05/24,08:05,Outono,Sol/nuvens,PNMSM (SEDE),Halictinae,Augochlorini,Augochloropsis,Augochloropsis sp.7,,43,A16,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:05,Outono,Sol/nuvens,PNMSM (SEDE),Halictinae,Augochlorini,Augochloropsis,Augochloropsis sp.5,,44,A17,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:07,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Partamona,Partamona sp.,,45,A18,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:07,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Oxytrigona,Oxytrigona cagafogo,,46,A19,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:07,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Oxytrigona,Oxytrigona cagafogo,,47,A20,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:08,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia remota,,48,A21,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:20,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,49,A22,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:20,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,50,A23,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:20,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,51,A24,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:20,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,52,A25,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:20,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,53,A26,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:20,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,54,A27,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:25,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,55,A28,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,08:25,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Melipona,Melipona marginata carioca,,56,A29,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:10,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Euglossini,Euglossa,Euglossa sp.,,57,A30,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Aroma,,
03/05/24,09:15,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia remota,,58,A31,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:15,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia remota,,59,A32,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:15,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia droryana,,60,A33,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:16,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia droryana,,61,A34,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:16,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia saiqui,,62,A35,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:16,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia saiqui,,63,A36,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:16,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia droryana,,64,A37,,Spathiphyllum cannifolium,Araceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,09:16,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Partamona,Partamona sp.,,65,A38,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,10:00,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Leurotrigona,Leurotrigona muelleri,,66,A39,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,
03/05/24,10:00,Outono,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Leurotrigona,Leurotrigona muelleri,,67,A40,,Miconia calvescens,Melastomataceae,,Branca,,Actinomorfa,,Sim,Pólen,,coleoptero
18/05/24,10:00,Outono,Sol,Cond. Chácara do Mendanha,Apinae,Centridini,Centris,Centris sp.1,,68,F1,,Tecoma stans,Bignoniaceae,,Amarela,Cobre,Zigomorfa,Sim,Não,Néctar,,
18/05/24,10:00,Outono,Sol,Cond. Chácara do Mendanha,Apinae,Centridini,Centris,Centris sp.1,,69,F2,,Tecoma stans,Bignoniaceae,,Amarela,Cobre,Zigomorfa,Sim,Não,Néctar,,
18/05/24,10:00,Outono,Sol,Cond. Chácara do Mendanha,Apinae,Centridini,Centris,Centris sp.1,,70,F3,,Tecoma stans,Bignoniaceae,,Amarela,Cobre,Zigomorfa,Sim,Não,Néctar,,
14/06/24,08:40,Outono,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Trigona,Trigona sp.2,,71,D2,,Caliandra sp.,Fabaceae,,Lilás,,Actinomorfa,,Não,Pólen,,
14/06/24,09:20,Outono,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Ariphanarthra,Ariphanarthra palpalis,,72,D3,,Rubus rosifolius,Rosaceae,,Branca,,Actinomorfa,,Não,Néctar,,
14/06/24,09:20,Outono,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Rhectomia,Rhectomia sp.,,73,D4,,Rubus rosifolius,Rosaceae,,Branca,,Actinomorfa,,,Néctar,,
14/06/24,09:35,Outono,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,74,D5,,Casearia sp.,Salicaceae,,Branca,,Actinomorfa,,,,,
14/06/24,09:35,Outono,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,75,D6,,Casearia sp.,Salicaceae,,Branca,,Actinomorfa,,,,,
14/06/24,10:07,Outono,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Augochlorella,Augochlorella sp.1,,76,D7,,Rubus rosifolius,Rosaceae,,Branca,,Actinomorfa,,,Néctar,,
14/06/24,10:10,Outono,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Trigona,Trigona sp.2,,77,D8,,Brillantaisia lamium,Acanthaceae,,Lilás,,Zigomorfa,,Não,Néctar,,
14/06/24,11:13,Outono,Sol,Estrada da Torre (PEM),Halictinae,Halictini,Dialictus,Dialictus sp.1,,78,D9,,Oxalis debilis,Oxalidaceae,,Rosa,Lilás,Actinomorfa,,Não,Néctar,,Baccha sp.
14/06/24,13:11,Outono,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Augochlorella,Augochlorella sp.1,,79,D10,,Oxalis debilis,Oxalidaceae,,Rosa,Lilás,Actinomorfa,,Não,Néctar,,
21/06/24,09:10,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Rhectomia,Rhectomia sp.,,80,D11,,Oxalis debilis,Oxalidaceae,,Rosa,Lilás,Actinomorfa,,Não,Néctar,,
21/06/24,09:46,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,81,D12,,Begonia convolvulacea,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:00,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Trigona,Trigona sp.2,,82,D13,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:24,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia saiqui,,83,D14,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:24,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,84,D15,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:24,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,85,D16,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:30,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,86,D17,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:30,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,87,D18,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:30,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,88,D19,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,10:30,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,89,D20,,Begonia huegelii,Begoniaceae,,Branca,,Actinomorfa,,Não,Pólen,,
21/06/24,11:25,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Nannotrigona,Nannotrigona testaceicornis,,90,D21,,Asteraceae sp.1,Asteraceae,,Verde,,Actinomorfa,,Sim,néctar,,
21/06/24,11:25,Inverno,Sol,Estrada da Torre (PEM),Apinae,Meliponini,Nannotrigona,Nannotrigona testaceicornis,,91,D22,,Asteraceae sp.1,Asteraceae,,Verde,,Actinomorfa,,Sim,néctar,,
21/06/24,12:00,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Halictini,Dialictus,Dialictus sp.2,,92,D23,,Oxalis debilis,Oxalidaceae,,Rosa,Lilás,Zigomorfa,,Não,Néctar,,
21/06/24,12:40,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Augochlorella,Augochlorella sp.1,,93,D24,,Rubus rosifolius,Rosaceae,,Branca,,Actinomorfa,,Não,Néctar,,
21/06/24,14:00,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Ariphanarthra,Ariphanarthra palpalis,,94,D25,,Rubus rosifolius,Rosaceae,,Branca,,Actinomorfa,,Não,Néctar,,
21/06/24,14:00,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Ariphanarthra,Ariphanarthra palpalis,,95,D26,,Rubus rosifolius,Rosaceae,,Branca,,Actinomorfa,,Não,Néctar,,
21/06/24,14:30,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Rhectomia,Rhectomia sp.,,96,D27,,Rubiaceae sp.1,Rubiaceae,,Branca,,Actinomorfa,,Não,Néctar,,
12/07/24,10:00,Inverno,Sol,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia droryana,,97,A41,,Serjania caracasana,Sapindaceae,,Branca,Amarela,Actinomorfa,,Sim,Pólen,,
12/07/24,10:00,Inverno,Sol,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia droryana,,98,A42,,Serjania caracasana,Sapindaceae,,Branca,Amarela,Actinomorfa,,,,,
12/07/24,10:00,Inverno,Sol,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia droryana,,99,A43,,Serjania caracasana,Sapindaceae,,Branca,Amarela,Actinomorfa,,,,,
12/07/24,10:00,Inverno,Sol,PNMSM (SEDE),Apinae,Meliponini,Plebeia,Plebeia saiqui,,100,A44,,Serjania caracasana,Sapindaceae,,Branca,Amarela,Actinomorfa,,,,,
21/09/24,10:30,Inverno,Sol,R. Caminho da Serra,Apinae,Xylocopini,Xylocopa,Xylocopa sp.2,,101,B16,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,
21/09/24,10:35,Inverno,Sol,R. Caminho da Serra,Apinae,Meliponini,Tetragonisca,Tetragonisca angustula,,102,B17,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,,,
21/09/24,10:35,Inverno,Sol,R. Caminho da Serra,Apinae,Meliponini,Nannotrigona,Nannotrigona testaceicornis,,103,B18,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,,,
21/09/24,10:35,Inverno,Sol,R. Caminho da Serra,Apinae,Meliponini,Nannotrigona,Nannotrigona testaceicornis,,104,B19,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,,,
21/09/24,10:35,Inverno,Sol,R. Caminho da Serra,Apinae,Meliponini,Plebeia,Plebeia droryana,,105,B20,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,,,
21/09/24,10:35,Inverno,Sol,R. Caminho da Serra,Apinae,Meliponini,Plebeia,Plebeia droryana,,106,B21,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,,,
21/09/24,10:40,Inverno,Sol,R. Caminho da Serra,Apinae,Xylocopini,Xylocopa,Xylocopa frontalis,,107,B22,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,
21/09/24,10:50,Inverno,Sol,R. Caminho da Serra,Apinae,Xylocopini,Xylocopa,Xylocopa frontalis,,108,B23,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,
21/09/24,11:00,Inverno,Sol,R. Caminho da Serra,Apinae,Centridini,Centris,Centris sp.2,,109,B24,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,
21/09/24,11:10,Inverno,Sol,R. Caminho da Serra,Apinae,Meliponini,Trigona,Trigona spinipes,,110,B25,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,,,
21/09/24,11:40,Inverno,Sol,R. Caminho da Serra,Apinae,Centridini,Centris,Centris sp.2,,111,B26,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,
21/09/24,12:00,Inverno,Sol,R. Caminho da Serra,Apinae,Centridini,Centris,Centris sp.1,,112,B27,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,
21/09/24,12:00,Inverno,Sol,R. Caminho da Serra,Apinae,Centridini,Centris,Centris sp.2,,113,B28,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,
21/09/24,12:22,Inverno,Sol,R. Caminho da Serra,Apinae,Meliponini,Oxytrigona,Oxytrigona cagafogo,,114,B29,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,,,
21/09/24,?,Inverno,Sol,R. Caminho da Serra,Apinae,Apini,Apis,Apis mellifera,,115,B30,,Andira anthelmia,Fabaceae,,Rosa,Branca,Zigomorfa,,Sim,Néctar,,lepidopteros spp
27/09/24,08:35,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Halictinae,Augochlorini,Augochloropsis,Augochloropsis sp.2,,116,C15,,Ludwigia sp.,Onagraceae,,Amarela,,Actinomorfa,,Não,Néctar,,
27/09/24,09:15,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Halictinae,Augochlorini,Augochloropsis,Augochloropsis sp.6,,117,C16,,,,Ninho,,,,,,,,
27/09/24,09:15,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Halictinae,Augochlorini,Augochloropsis,Augochloropsis sp.6,,118,C17,,,,Ninho,,,,,,Suor,,
27/09/24,12:44,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Plebeia,Plebeia saiqui,,119,C18,,Eriotheca sp.,Malvaceae,,Amarela,,Actinomorfa,,,Pólen,,
27/09/24,12:44,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,120,C19,,Eriotheca sp.,Malvaceae,,Amarela,,Actinomorfa,,,Pólen,,
27/09/24,12:44,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,121,C20,,Eriotheca sp.,Malvaceae,,Amarela,,Actinomorfa,,,Pólen,,
27/09/24,12:44,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Plebeia,Plebeia droryana,,122,C21,,Eriotheca sp.,Malvaceae,,Amarela,,Actinomorfa,,,Pólen,,
27/09/24,13:13,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Halictinae,Halictini,Dialictus,Dialictus sp.,,123,C22,,,,Pele humana suada,,,,,,Suor,,
27/09/24,13:13,Primavera,Sol/nuvens,Trilha cachoeira (PEM),Apinae,Meliponini,Leurotrigona,Leurotrigona muelleri,,124,C23,,,,Pele humana suada,,,,,,,,
